postcode,latitude,longitude,radius,population
2000,-33.866577,151.20703,0.8828912,27411.0
2007,-33.88139,151.19688,0.5943848,8845.0
2008,-33.889095,151.19647,0.5660182,11712.0
2009,-33.86971,151.19392,0.7438222,12813.0
2010,-33.884323,151.21645,0.73028463,27734.0
2011,-33.87092,151.22528,0.86271304,21196.0
2015,-33.90209,151.1962,0.5759774,9918.0
2016,-33.892776,151.2039,0.6087395,13213.0
2017,-33.90517,151.20619,0.7266235,24695.0
2018,-33.92277,151.20816,0.9669173,17028.0
2019,-33.951096,151.20161,1.6420641,10838.0
2020,-33.93157,151.18266,1.3330008,14772.0
2021,-33.88933,151.22292,0.85784733,15313.0
2022,-33.89565,151.24846,0.6790786,12507.0
2023,-33.887188,151.25894,0.68759465,10716.0
2024,-33.900143,151.25795,0.7241398,11073.0
2025,-33.885796,151.24413,0.58642226,7405.0
2026,-33.891853,151.27225,1.0114826,32490.0
2027,-33.87374,151.23994,0.7228991,8195.0
2028,-33.87906,151.24309,0.6303434,4642.0
2029,-33.866554,151.28046,1.3481711,9961.0
2030,-33.856503,151.28065,1.67026,14079.0
2031,-33.91441,151.2504,0.8616217,34726.0`
2032,-33.926483,151.22647,1.0124218,16689.0
2033,-33.913,151.21901,0.77361643,11570.0
2034,-33.92589,151.25525,1.2123508,20713.0
2035,-33.94503,151.23927,1.3954427,34490.0
2036,-33.968422,151.23424,2.0054944,30407.0
2037,-33.881016,151.18446,0.60258335,16115.0
2038,-33.881435,151.17068,0.64547086,9451.0
2039,-33.863064,151.17058,0.9175807,8725.0
2040,-33.87839,151.16142,0.8542975,22242.0
2041,-33.855907,151.18307,1.065619,15690.0
2042,-33.897907,151.17555,0.62613606,19129.0
2043,-33.902233,151.18619,0.6743023,8014.0
2044,-33.91702,151.16899,0.9410836,7846.0
2045,-33.880497,151.13884,0.87373275,6457.0
2046,-33.85989,151.13214,1.3398569,26822.0
2047,-33.851055,151.15454,1.1095752,11950.0
2048,-33.89735,151.16534,0.6771045,7938.0
2049,-33.893475,151.15237,0.7905896,11282.0
2050,-33.888664,151.17937,0.6035373,8963.0
2052,-33.906563,151.23442,0.9088592,3425.0
2060,-33.84073,151.20297,0.90564394,13988.0
2061,-33.8469,151.21214,0.88752854,5943.0
2062,-33.821953,151.21043,0.809338,7006.0
2063,-33.81503,151.22226,1.0161471,6347.0
2064,-33.807663,151.18967,1.0197961,9523.0
2065,-33.824722,151.195,0.9909275,30119.0
2066,-33.820515,151.16345,1.3836862,31626.0
2067,-33.795975,151.17624,1.0659664,26403.0
2068,-33.79778,151.20238,1.103326,16813.0
2069,-33.782566,151.19075,1.0974749,14253.0
2070,-33.775745,151.17099,1.0728714,13505.0
2071,-33.759937,151.16603,1.1668099,13545.0
2072,-33.757347,151.15569,1.2340368,7668.0
2073,-33.752262,151.13358,1.37922,16352.0
2074,-33.72888,151.12914,1.5076594,22258.0
2075,-33.71925,151.161,2.0513697,20451.0
2076,-33.713367,151.11287,1.6647718,24648.0
2077,-33.692966,151.10176,1.8983897,37791.0
2079,-33.664818,151.11716,2.8298583,7095.0
2080,-33.62873,151.22679,2.8696861,1708.0
2081,-33.606537,151.16057,3.1040413,5369.0
2082,-33.60631,151.1276,3.2424104,5397.0
2083,-33.519768,151.2016,5.4463663,1519.0
2084,-33.66,151.21072,3.2866786,3625.0
2085,-33.746563,151.22813,1.5263114,11624.0
2086,-33.751225,151.23575,1.3119063,13414.0
2087,-33.767868,151.21509,1.4531933,12798.0
2088,-33.82602,151.2432,1.1938967,28475.0
2089,-33.831326,151.22182,0.7865782,11918.0
2090,-33.83856,151.22913,0.9338721,13724.0
2092,-33.797108,151.25114,1.189919,7139.0
2093,-33.794804,151.25883,1.0877683,22873.0
2094,-33.794163,151.27397,0.9167855,5840.0
2095,-33.799484,151.28845,1.2703896,15866.0
2096,-33.777397,151.28922,1.3735157,14657.0
2097,-33.733402,151.29208,1.8585871,15529.0
2099,-33.751343,151.28362,1.5240016,39925.0
2100,-33.759624,151.26126,1.4961948,20911.0
2101,-33.700996,151.28087,1.7132524,19395.0
2102,-33.686264,151.29909,1.1873407,7501.0
2103,-33.67707,151.30032,1.0487264,10670.0
2104,-33.66445,151.29895,1.0808455,3620.0
2105,-33.64151,151.28226,1.826915,1848.0
2106,-33.65619,151.31604,1.3914562,9301.0
2107,-33.630787,151.32137,1.8236746,14669.0
2108,-33.603928,151.29906,2.6049242,1673.0
2109,-33.774323,151.11198,1.3986516,3086.0
2110,-33.836617,151.16336,1.1773984,10343.0
2111,-33.832836,151.13371,1.4556098,14412.0
2112,-33.811623,151.10501,1.5296974,32852.0
2113,-33.793213,151.13066,1.8533121,18371.0
2114,-33.808403,151.08025,1.353963,24057.0
2115,-33.814144,151.05449,1.1506138,10737.0
2116,-33.811245,151.03447,1.2270344,6642.0
2117,-33.79473,151.0442,1.1284717,21285.0
2118,-33.776657,151.04398,1.3068255,24341.0
2119,-33.755592,151.07195,1.4246011,11643.0
2120,-33.72715,151.07516,1.8196247,20208.0
2121,-33.766163,151.08505,1.3871427,28214.0
2122,-33.78698,151.08757,1.3301394,31160.0
2125,-33.753677,151.03911,1.6124833,16374.0
2126,-33.72202,151.04181,1.8577915,18765.0
2127,-33.846054,151.0655,1.1525722,14532.0
2128,-33.83593,151.04759,1.1861838,4166.0
2130,-33.891712,151.13725,0.63164234,7311.0
2131,-33.8895,151.12744,0.7234334,23841.0
2132,-33.883163,151.11478,0.8225874,10612.0
2133,-33.895435,151.10101,0.8454993,11012.0
2134,-33.87679,151.1038,0.74636054,16033.0
2135,-33.873913,151.094,0.8586688,25251.0
2136,-33.888966,151.09294,0.7620677,7364.0
2137,-33.849884,151.10474,1.327709,26507.0
2138,-33.840157,151.08635,1.3060763,20023.0
2140,-33.864735,151.07857,1.2086279,16167.0
2141,-33.86443,151.04503,1.4230366,28675.0
2142,-33.835884,151.01207,1.3514456,26292.0
2143,-33.890797,151.02576,1.2991978,8921.0
2144,-33.849323,151.03342,1.1793516,37366.0
2145,-33.81365,150.96185,1.7665857,79211.0
2146,-33.789936,150.96179,1.7553257,17465.0
2147,-33.762486,150.9278,2.0473437,36341.0
2148,-33.774086,150.8978,1.9438922,63071.0
2150,-33.819035,151.0046,1.4658026,31500.0
2151,-33.78308,151.01962,1.3416009,21306.0
2152,-33.783848,150.99434,1.5919443,11215.0
2153,-33.75733,150.97856,1.9659442,56562.0
2154,-33.732307,151.00562,2.121843,39594.0
2155,-33.6995,150.93723,2.2572186,55452.0
2156,-33.674004,150.98515,2.870064,12942.0
2157,-33.559414,151.03235,5.528251,3741.0
2158,-33.675148,151.02254,2.7916327,8575.0
2159,-33.623264,151.06177,3.46317,4975.0
2160,-33.83462,150.98062,1.4074244,35973.0
2161,-33.858265,150.97893,1.6042734,31418.0
2162,-33.88433,151.00633,1.4346654,18622.0
2163,-33.887306,150.96979,1.4914871,9590.0
2164,-33.84813,150.93443,2.0419312,19624.0
2165,-33.867886,150.94838,1.4380342,42444.0
2166,-33.89249,150.93468,1.948291,52762.0
2167,-33.971306,150.89452,2.0922809,9633.0
2168,-33.91527,150.88214,1.8096043,43451.0
2170,-33.92975,150.92043,2.1380463,105451.0
