Postcode,Female,Over65,Population
2000,0.496,0.062,27411.0
2001,,,
2002,,,
2006,,,
2007,0.519,0.042,8845.0
2008,0.52,0.031,11712.0
2009,0.494,0.09,12813.0
2010,0.424,0.089,27734.0
2011,0.437,0.122,21196.0
2012,,,
2013,,,
2015,0.494,0.053,9918.0
2016,0.457,0.122,13213.0
2017,0.487,0.079,24695.0
2018,0.499,0.138,17028.0
2019,0.5,0.12,10838.0
2020,0.497,0.088,14772.0
2021,0.525,0.128,15313.0
2022,0.52,0.151,12507.0
2023,0.513,0.151,10716.0
2024,0.523,0.157,11073.0
2025,0.545,0.216,7405.0
2026,0.506,0.1,32490.0
2027,0.541,0.263,8195.0
2028,0.562,0.219,4642.0
2029,0.535,0.177,9961.0
2030,0.524,0.16,14079.0
2031,0.523,0.121,34726.0
2032,0.495,0.121,16689.0
2033,0.501,0.121,11570.0
2034,0.529,0.119,20713.0
2035,0.515,0.164,34490.0
2036,0.483,0.165,30407.0
2037,0.529,0.119,16115.0
2038,0.519,0.111,9451.0
2039,0.522,0.101,8725.0
2040,0.522,0.117,22242.0
2041,0.521,0.142,15690.0
2042,0.5,0.069,19129.0
2043,0.486,0.049,8014.0
2044,0.499,0.1,7846.0
2045,0.505,0.196,6457.0
2046,0.528,0.177,26822.0
2047,0.53,0.18,11950.0
2048,0.504,0.111,7938.0
2049,0.509,0.108,11282.0
2050,0.51,0.058,8963.0
2052,0.484,0.005,3425.0
2055,,,
2057,,,
2059,,,
2060,0.518,0.153,13988.0
2061,0.521,0.2,5943.0
2062,0.531,0.132,7006.0
2063,0.518,0.184,6347.0
2064,0.512,0.102,9523.0
2065,0.522,0.119,30119.0
2066,0.508,0.136,31626.0
2067,0.526,0.131,26403.0
2068,0.519,0.147,16813.0
2069,0.511,0.161,14253.0
2070,0.516,0.168,13505.0
2071,0.519,0.171,13545.0
2072,0.522,0.159,7668.0
2073,0.525,0.148,16352.0
2074,0.521,0.227,22258.0
2075,0.521,0.196,20451.0
2076,0.519,0.186,24648.0
2077,0.512,0.13,37791.0
2079,0.502,0.118,7095.0
2080,0.5,0.145,1708.0
2081,0.501,0.125,5369.0
2082,0.506,0.145,5397.0
2083,0.485,0.213,1519.0
2084,0.508,0.192,3625.0
2085,0.516,0.252,11624.0
2086,0.505,0.153,13414.0
2087,0.517,0.189,12798.0
2088,0.537,0.191,28475.0
2089,0.53,0.138,11918.0
2090,0.54,0.164,13724.0
2092,0.518,0.128,7139.0
2093,0.516,0.134,22873.0
2094,0.523,0.15,5840.0
2095,0.503,0.147,15866.0
2096,0.504,0.102,14657.0
2097,0.512,0.155,15529.0
2099,0.512,0.144,39925.0
2100,0.504,0.153,20911.0
2101,0.512,0.205,19395.0
2102,0.52,0.159,7501.0
2103,0.52,0.225,10670.0
2104,0.541,0.384,3620.0
2105,0.492,0.225,1848.0
2106,0.509,0.166,9301.0
2107,0.511,0.192,14669.0
2108,0.49,0.347,1673.0
2109,0.531,0.09,3086.0
2110,0.5,0.217,10343.0
2111,0.517,0.17,14412.0
2112,0.513,0.146,32852.0
2113,0.51,0.143,18371.0
2114,0.507,0.119,24057.0
2115,0.502,0.138,10737.0
2116,0.505,0.127,6642.0
2117,0.512,0.132,21285.0
2118,0.508,0.161,24341.0
2119,0.526,0.193,11643.0
2120,0.509,0.159,20208.0
2121,0.507,0.138,28214.0
2122,0.517,0.155,31160.0
2123,,,
2124,,,
2125,0.507,0.154,16374.0
2126,0.509,0.155,18765.0
2127,0.509,0.052,14532.0
2128,0.338,0.038,4166.0
2129,,,
2130,0.514,0.108,7311.0
2131,0.506,0.14,23841.0
2132,0.523,0.175,10612.0
2133,0.527,0.15,11012.0
2134,0.521,0.12,16033.0
2135,0.499,0.136,25251.0
2136,0.513,0.15,7364.0
2137,0.517,0.164,26507.0
2138,0.51,0.078,20023.0
2139,,,
2140,0.473,0.059,16167.0
2141,0.483,0.104,28675.0
2142,0.478,0.084,26292.0
2143,0.503,0.12,8921.0
2144,0.45,0.086,37366.0
2145,0.5,0.13,79211.0
2146,0.5,0.132,17465.0
2147,0.499,0.143,36341.0
2148,0.498,0.125,63071.0
2150,0.478,0.065,31500.0
2151,0.507,0.142,21306.0
2152,0.527,0.18,11215.0
2153,0.511,0.154,56562.0
2154,0.516,0.176,39594.0
2155,0.505,0.076,55452.0
2156,0.503,0.202,12942.0
2157,0.502,0.156,3741.0
2158,0.511,0.195,8575.0
2159,0.504,0.207,4975.0
2160,0.494,0.117,35973.0
2161,0.496,0.108,31418.0
2162,0.506,0.135,18622.0
2163,0.48,0.134,9590.0
2164,0.505,0.162,19624.0
2165,0.506,0.136,42444.0
2166,0.51,0.128,52762.0
2167,0.51,0.121,9633.0
2168,0.508,0.104,43451.0
2170,0.507,0.122,105451.0
2171,0.504,0.061,34866.0
2172,0.489,0.078,2781.0
2173,0.489,0.056,14433.0
2175,0.483,0.189,1837.0
2176,0.509,0.145,47809.0
2177,0.512,0.114,15979.0
2178,0.489,0.166,4230.0
2179,0.493,0.187,6530.0
2190,0.504,0.131,25566.0
2191,0.516,0.164,6322.0
2192,0.502,0.157,12718.0
2193,0.51,0.146,15256.0
2194,0.498,0.112,24541.0
2195,0.465,0.087,27154.0
2196,0.495,0.123,31815.0
2197,0.507,0.148,9069.0
2198,0.515,0.192,9038.0
2199,0.5,0.138,18013.0
2200,0.505,0.116,43687.0
2203,0.523,0.121,13707.0
2204,0.51,0.131,26502.0
2205,0.495,0.088,19447.0
2206,0.508,0.195,19404.0
2207,0.512,0.185,28534.0
2208,0.512,0.183,12446.0
2209,0.517,0.165,15769.0
2210,0.514,0.2,30586.0
2211,0.51,0.178,16846.0
2212,0.517,0.156,15847.0
2213,0.512,0.15,21784.0
2214,0.507,0.173,3952.0
2216,0.496,0.139,28067.0
2217,0.506,0.147,26843.0
2218,0.499,0.131,16431.0
2219,0.526,0.213,13200.0
2220,0.508,0.118,32487.0
2221,0.515,0.178,16481.0
2222,0.516,0.135,12786.0
2223,0.515,0.156,20910.0
2224,0.519,0.231,14213.0
2225,0.511,0.138,5407.0
2226,0.507,0.149,12504.0
2227,0.513,0.167,14626.0
2228,0.518,0.198,18361.0
2229,0.515,0.188,28718.0
2230,0.508,0.167,28843.0
2231,0.494,0.132,2267.0
2232,0.515,0.174,32870.0
2233,0.509,0.164,29498.0
2234,0.506,0.127,30580.0
2250,0.515,0.192,67194.0
2251,0.52,0.221,32702.0
2256,0.521,0.268,15598.0
2257,0.519,0.253,29010.0
2258,0.501,0.14,5164.0
2259,0.512,0.192,59513.0
2260,0.508,0.176,23417.0
2261,0.521,0.21,52754.0
2262,0.512,0.192,20830.0
